"SYMBOL","Log2FoldChange","Padj","change"
"CD4",-1.56242152019672,2.919082707913e-22,"DOWN"
"LRRC23",-0.969799463754688,4.40435044269483e-15,"NOT"
"BTK",-2.07446510104738,2.09313887614801e-34,"DOWN"
"HFE",-0.0138957894074085,0.916387246457669,"NOT"
"SCMH1",-0.52123656439154,9.89245493865935e-11,"NOT"
"FYN",-1.11737337092389,1.42934709562949e-18,"DOWN"
"HIVEP2",-0.55640041037348,6.42007247231539e-09,"NOT"
"FMO1",1.7158580367418,2.67915981527118e-13,"UP"
"ELOA",-0.41464899166003,1.986701450266e-09,"NOT"
"LYPLA2",0.388741146423013,1.59038462899655e-05,"NOT"
"CLCN6",-0.820505323836706,4.25603996746873e-19,"NOT"
"MRC2",-0.755895440525619,2.13016046598691e-06,"NOT"
"NME1-NME2",1.73921351505266,1.36965212913251e-30,"UP"
"SLC6A7",0.830711955184632,0.000318468581368951,"NOT"
"TSPAN9",-0.340084140191751,0.00746260751100896,"NOT"
"BTBD7",0.0367292478160348,0.704893161368048,"NOT"
"APBA3",0.481174789565443,8.12018091515077e-10,"NOT"
"MKS1",0.58342031493847,1.57792735037656e-14,"NOT"
"ABHD5",-0.848391509199584,1.37759093098084e-21,"NOT"
"ANOS1",-2.73521168859048,3.7569802640009e-44,"DOWN"
"AKAP8L",0.402926768140473,1.19276022182856e-06,"NOT"
"MBTD1",0.430168565060219,9.10261360909336e-06,"NOT"
"UTP18",0.724562562747962,1.92816173725305e-22,"NOT"
"RNF216",0.312425327734641,7.18669284128036e-06,"NOT"
"TTC19",-0.588327283295831,1.52803418549581e-14,"NOT"
"PTBP1",0.647859320364469,1.64119123932124e-34,"NOT"
"DPF1",3.01099486602342,7.02861187134909e-47,"UP"
"SYT7",2.14460875958687,8.89130443136593e-25,"UP"
"LARS2",0.16510812223616,0.0251264228311933,"NOT"
"PIK3C2A",-0.621204419454808,1.08323640650269e-16,"NOT"
"PLAUR",-0.595822230078889,0.000131927182907953,"NOT"
"ANLN",4.16406864811589,2.47194109182584e-247,"UP"
"WIZ",0.628664880093004,4.60338080499594e-12,"NOT"
"RABGAP1",-0.163699332647768,0.0440174891880696,"NOT"
"DCN",-1.45399651089859,2.52616371287303e-12,"DOWN"
"QPCTL",0.667242031183937,5.76900665915912e-12,"NOT"
"PPP5C",0.453616724292399,7.81986226344602e-11,"NOT"
"CEP68",0.160779910046843,0.114421350630178,"NOT"
